Timestamp,CPU Usage (%)
1731697403.7082987,46.9
1731697403.909618,72.5
1731697404.110812,44.9
1731697404.3121018,47.5
1731697404.5132668,47.0
1731697404.7146096,48.1
1731697404.9165533,68.7
1731697405.118622,47.4
1731697405.3198295,46.2
1731697405.5211515,45.7
1731697405.7225099,45.8
1731697405.923731,65.0
1731697406.1249418,42.9
1731697406.3262954,46.2
1731697406.5275073,46.9
1731697406.7287989,46.9
1731697406.9300296,59.3
1731697407.1352146,56.2
1731697407.3390684,45.6
1731697407.540289,46.9
1731697407.7417083,47.5
1731697407.9430788,50.0
1731697408.1442924,72.5
1731697408.3455791,46.3
1731697408.5469077,44.9
1731697408.748141,47.5
1731697408.9492915,47.6
1731697409.1507816,47.5
1731697409.3523672,70.4
1731697409.5539105,44.9
1731697409.7552156,46.8
1731697409.9563007,46.9
1731697410.1575665,46.3
1731697410.3588228,53.1
1731697410.5600998,63.3
1731697410.7612467,44.3
1731697410.962268,47.5
1731697411.163595,47.0
1731697411.3648355,50.0
1731697411.5662413,65.0
1731697411.7699842,43.6
1731697411.9712553,46.2
1731697412.1722353,47.6
1731697412.3732457,51.9
1731697412.5758712,64.6
1731697412.7772305,46.8
1731697412.978295,44.7
1731697413.179552,47.6
1731697413.3808937,46.9
1731697413.582084,53.7
1731697413.7832448,62.8
1731697413.984261,45.6
1731697414.1856587,44.2
1731697414.3869727,47.5
1731697414.5888927,46.9
1731697414.792831,60.0
1731697414.9946952,57.0
1731697415.1959183,44.9
1731697415.3972118,46.3
1731697415.5986238,46.9
1731697415.7998035,53.1
1731697416.0012696,63.7
1731697416.203314,43.8
1731697416.4045799,46.8
1731697416.6074152,48.1
1731697416.8086174,53.7
1731697417.0098538,63.3
1731697417.2111826,44.2
1731697417.412305,46.2
1731697417.613566,49.4
1731697417.8147502,53.1
1731697418.016109,65.4
1731697418.217504,45.6
1731697418.4188476,46.2
1731697418.6202123,46.8
1731697418.8262734,56.1
1731697419.0275297,67.5
1731697419.2286994,44.9
1731697419.4298937,45.6
1731697419.6310654,44.9
1731697419.8343403,54.3
1731697420.0361392,53.1
1731697420.2372448,47.5
1731697420.438256,45.5
1731697420.6401489,48.1
1731697420.841293,51.3
1731697421.0425637,65.0
1731697421.2438574,45.7
1731697421.444944,46.8
1731697421.6461449,47.5
1731697421.847269,48.1
1731697422.04854,72.8
1731697422.2497294,48.1
1731697422.450981,48.8
1731697422.6522741,47.4
1731697422.8535197,57.0
1731697423.0554917,92.5
1731697423.2582178,72.2
1731697423.460605,63.1
1731697423.662137,56.2
1731697423.8632221,76.5
1731697424.0644944,84.8
1731697424.2670267,63.4
1731697424.4683135,63.0
1731697424.6721714,59.5
1731697424.8757308,73.7
1731697425.0775747,91.3
1731697425.2789378,67.1
