Timestamp,CPU Usage (%)
1731696328.5238829,43.4
1731696328.7262976,43.8
1731696328.9278712,35.8
1731696329.1304383,36.2
1731696329.3317127,36.7
1731696329.533068,35.1
1731696329.734282,55.7
1731696329.9355383,34.2
1731696330.1368601,39.5
1731696330.3380992,29.1
1731696330.5392613,35.4
1731696330.7405174,54.5
1731696330.941826,30.8
1731696331.1431627,38.0
1731696331.3442957,37.5
1731696331.5455956,37.0
1731696331.746833,57.5
1731696331.9481785,35.9
1731696332.1495876,35.9
1731696332.3509169,33.8
1731696332.5521052,38.7
1731696332.7533033,37.8
1731696332.9545202,62.0
1731696333.1558452,37.2
1731696333.3570697,33.3
1731696333.5582864,35.5
1731696333.7595758,38.3
1731696333.9608574,37.3
1731696334.1621304,40.2
1731696334.363645,36.7
1731696334.5650318,37.2
1731696334.7665164,32.5
1731696334.9677281,35.9
1731696335.1689477,34.6
1731696335.3701315,56.8
1731696335.5712526,38.3
1731696335.7724898,37.2
1731696335.9737089,35.4
1731696336.1751642,36.7
1731696336.3765988,61.0
1731696336.5778153,38.0
1731696336.7790382,37.5
1731696336.9802794,36.7
1731696337.181689,34.6
1731696337.3830292,41.6
1731696337.5843275,52.5
1731696337.7856925,37.5
1731696337.9869537,39.8
1731696338.1882186,38.8
1731696338.3893352,47.4
1731696338.5928128,44.7
1731696338.7940533,36.4
1731696338.9952972,38.7
1731696339.1965947,36.6
1731696339.3977885,36.2
1731696339.599164,53.8
1731696339.8007588,35.5
1731696340.0023234,34.7
1731696340.2039702,38.0
1731696340.4052336,38.7
1731696340.60823,55.4
1731696340.8095727,41.8
1731696341.0108795,37.2
1731696341.2121708,36.7
1731696341.4135766,37.5
1731696341.6147552,39.2
1731696341.8160415,57.7
1731696342.017268,38.7
1731696342.218519,35.9
1731696342.4198384,36.4
1731696342.6211185,39.0
1731696342.8222895,59.3
1731696343.0237744,37.0
1731696343.225104,38.7
1731696343.4263399,39.2
1731696343.6274462,38.5
1731696343.8289578,57.3
1731696344.0302927,38.8
1731696344.2316327,38.8
1731696344.4329863,39.0
1731696344.6342912,38.0
1731696344.841072,52.5
1731696345.0422738,39.5
1731696345.2434273,36.7
1731696345.4447021,37.2
1731696345.6459355,39.0
1731696345.847257,38.3
1731696346.048497,53.2
1731696346.2498722,42.3
1731696346.451177,38.0
1731696346.6522639,37.5
1731696346.8535116,39.0
1731696347.0548122,61.7
1731696347.256014,42.5
1731696347.4572666,33.3
1731696347.6586323,36.4
1731696347.8598297,38.3
1731696348.0611718,56.8
1731696348.2626343,39.0
1731696348.4639235,38.3
1731696348.6653025,37.2
1731696348.8666658,36.8
1731696349.0680614,62.8
1731696349.26931,35.0
1731696349.4709883,40.2
1731696349.6722844,37.5
1731696349.8737905,37.5
1731696350.0759425,41.6
1731696350.2772532,60.5
1731696350.4784958,36.7
1731696350.6797855,38.3
1731696350.8811998,37.3
1731696351.0822544,37.5
1731696351.2834888,69.2
1731696351.4848056,33.8
1731696351.686139,37.5
1731696351.8872721,39.0
1731696352.0885053,37.5
1731696352.2898512,67.9
1731696352.4912345,38.0
1731696352.692303,32.5
1731696352.8939917,37.2
1731696353.095166,30.8
1731696353.2963555,69.1
1731696353.497991,38.8
1731696353.6992123,38.3
1731696353.9002936,35.1
1731696354.1016085,35.5
1731696354.3032286,52.6
1731696354.5055747,42.5
1731696354.7067363,38.3
1731696354.908194,38.3
1731696355.109686,36.7
1731696355.3110385,58.4
1731696355.5126257,41.8
1731696355.713926,30.3
1731696355.9151921,34.2
1731696356.1162665,40.2
1731696356.3176398,62.5
1731696356.518937,45.6
1731696356.7207775,63.6
1731696356.9222915,64.2
1731696357.124193,58.2
1731696357.3254702,65.9
1731696357.5301013,88.7
1731696357.731529,66.7
1731696357.9328365,56.4
1731696358.1341455,32.5
1731696358.335547,37.5
1731696358.53699,44.6
1731696358.7382355,49.4
1731696358.9398124,65.0
1731696359.1417027,43.6
1731696359.34296,48.1
1731696359.5445507,44.9
1731696359.7464898,28.7
1731696359.9476244,32.5
1731696360.1490183,75.0
1731696360.3502402,46.3
1731696360.5515428,43.6
1731696360.752859,46.8
1731696360.9543025,46.9
1731696361.1572595,61.9
1731696361.358562,71.3
1731696361.5597486,45.0
1731696361.7609606,41.8
1731696361.9622583,41.0
1731696362.1633048,58.7
1731696362.3646293,75.6
1731696362.5660722,47.0
1731696362.7672973,46.2
1731696362.9687786,42.9
1731696363.1702948,36.4
1731696363.372881,67.9
1731696363.5747263,44.9
1731696363.779709,46.9
1731696363.9811072,46.3
1731696364.1822505,45.6
1731696364.3833065,62.3
1731696364.5848265,43.6
1731696364.7860427,44.9
1731696364.9872725,47.5
1731696365.1885912,45.6
1731696365.3912642,54.9
1731696365.5925772,64.6
1731696365.7938387,38.7
1731696365.995126,45.6
1731696366.1963918,42.0
1731696366.400013,55.6
1731696366.601276,59.3
1731696366.802626,44.9
1731696367.0038362,42.3
1731696367.2051635,42.9
1731696367.406322,45.0
1731696367.6076756,50.6
1731696367.8091888,64.2
1731696368.012146,46.2
1731696368.2132764,45.6
1731696368.4145184,45.6
1731696368.6157253,46.2
1731696368.8172085,67.1
1731696369.018621,48.1
1731696369.2200582,43.2
1731696369.4212694,45.6
1731696369.6225677,47.5
1731696369.8238196,70.0
1731696370.0252695,47.0
1731696370.2265425,45.7
1731696370.4278471,48.1
1731696370.6291947,46.8
1731696370.8316379,65.4
1731696371.032918,46.8
1731696371.2341762,46.9
1731696371.4357889,45.6
1731696371.6371408,39.2
1731696371.8383362,64.6
1731696372.0401814,46.2
1731696372.2420864,43.0
1731696372.4437006,44.0
1731696372.645186,43.7
1731696372.8470426,41.3
1731696373.0492623,53.2
1731696373.2505608,64.1
1731696373.4518158,45.5
1731696373.6531549,43.7
1731696373.854255,45.6
1731696374.0555613,46.9
1731696374.2568815,70.0
1731696374.458155,46.2
1731696374.6592681,43.6
1731696374.860647,44.2
1731696375.0618992,45.6
1731696375.2652826,65.4
1731696375.4666338,52.5
1731696375.6678967,48.1
1731696375.8691702,45.0
1731696376.0703092,42.3
1731696376.2717798,44.9
1731696376.4743562,70.9
1731696376.6782393,40.2
1731696376.879299,48.2
1731696377.0808144,46.8
1731696377.2819958,45.6
1731696377.4832492,70.0
1731696377.6845198,45.0
1731696377.8858826,46.3
1731696378.0879166,45.6
1731696378.2892778,46.3
1731696378.4905655,44.3
1731696378.69183,55.3
1731696378.8930597,44.9
1731696379.0945058,43.0
1731696379.2957826,46.2
1731696379.4969575,45.0
1731696379.7012734,57.0
1731696379.9022906,59.0
1731696380.1037326,45.5
1731696380.3049474,39.0
1731696380.5062568,46.2
1731696380.7075932,50.0
1731696380.9089246,67.9
1731696381.110652,44.9
1731696381.3120756,44.9
1731696381.5132816,43.2
1731696381.7148852,46.8
1731696381.9161887,72.5
1731696382.1172915,45.0
1731696382.3186796,45.0
1731696382.519886,42.1
1731696382.7213123,45.6
1731696382.9225616,45.0
1731696383.1238256,52.4
1731696383.3252616,58.0
1731696383.5265105,48.1
1731696383.727712,42.5
1731696383.929003,42.9
1731696384.130266,47.4
1731696384.3314962,81.2
1731696384.5330226,66.3
1731696384.7342656,71.6
